Source_IP,Destination_IP,Protocol,Packet_Size,Duration,Flags,Timestamp,,,,,,,,,
192.168.102.29,10.135.14.73,TCP,1438,1.647685426,SYN,1/1/2023 0:00,,,,,,,,,
192.168.14.43,10.15.25.32,TCP,685,1.530254095,ACK,1/1/2023 0:00,,,,,,,,,
192.168.71.21,10.81.7.60,TCP,669,1.019932711,ACK,1/1/2023 0:00,,,,,,,,,
192.168.102.19,10.11.11.59,UDP,1498,0.116246798,SYN,1/1/2023 0:00,,,,,,,,,
192.168.214.11,10.161.56.30,UDP,479,1.305986244,FIN,1/1/2023 0:00,,,,,,,,,
192.168.202.24,10.43.30.38,TCP,449,0.758013757,ACK,1/1/2023 0:00,,,,,,,,,
192.168.116.36,10.152.23.97,TCP,1002,0.608668902,ACK,1/1/2023 0:01,,,,,,,,,
192.168.103.24,10.136.24.84,TCP,1290,0.322970788,SYN,1/1/2023 0:01,,,,,,,,,
192.168.130.22,10.47.16.52,TCP,1307,0.648426146,ACK,1/1/2023 0:01,,,,,,,,,
192.168.52.2,10.35.40.20,ICMP,68,0.003562179,ACK,1/1/2023 0:01,,,,,,,,,
192.168.87.44,10.103.49.12,TCP,1095,0.200469228,SYN,1/1/2023 0:01,,,,,,,,,
192.168.157.38,10.134.39.94,UDP,596,1.963435106,ACK,1/1/2023 0:01,,,,,,,,,
192.168.129.21,10.41.28.86,TCP,644,0.316787569,ACK,1/1/2023 0:02,,,,,,,,,
192.168.160.12,10.66.49.41,ICMP,277,0.475200849,ACK,1/1/2023 0:02,,,,,,,,,
192.168.57.22,10.151.25.69,TCP,638,0.236356074,ACK,1/1/2023 0:02,,,,,,,,,
192.168.235.25,10.12.36.86,UDP,194,0.003840318,SYN,1/1/2023 0:02,,,,,,,,,
192.168.48.27,10.161.38.3,TCP,1333,0.204713544,SYN,1/1/2023 0:02,,,,,,,,,
192.168.58.42,10.95.23.73,UDP,90,1.272862029,SYN,1/1/2023 0:02,,,,,,,,,
192.168.219.16,10.130.21.24,TCP,1391,0.173775448,ACK,1/1/2023 0:03,,,,,,,,,
192.168.14.47,10.34.19.44,TCP,224,0.15083074,SYN,1/1/2023 0:03,,,,,,,,,
192.168.189.44,10.75.47.43,UDP,757,0.238208658,SYN,1/1/2023 0:03,,,,,,,,,
192.168.54.3,10.80.3.72,UDP,923,0.675883951,SYN,1/1/2023 0:03,,,,,,,,,
192.168.228.7,10.153.30.54,UDP,265,1.026585822,RST,1/1/2023 0:03,,,,,,,,,
192.168.20.9,10.55.52.72,TCP,755,0.86032572,SYN,1/1/2023 0:03,,,,,,,,,
192.168.166.18,10.33.45.80,TCP,590,1.678097036,SYN,1/1/2023 0:04,,,,,,,,,
192.168.131.25,10.83.9.50,TCP,344,0.175178108,ACK,1/1/2023 0:04,,,,,,,,,
192.168.59.14,10.10.50.86,UDP,256,0.000960439,RST,1/1/2023 0:04,,,,,,,,,
192.168.241.9,10.74.17.82,UDP,1190,1.875328577,ACK,1/1/2023 0:04,,,,,,,,,
192.168.89.2,10.158.19.62,TCP,797,0.159858533,RST,1/1/2023 0:04,,,,,,,,,
192.168.83.28,10.22.39.53,ICMP,768,1.619935333,SYN,1/1/2023 0:04,,,,,,,,,
192.168.110.7,10.61.9.17,TCP,1470,0.309946707,SYN,1/1/2023 0:05,,,,,,,,,
192.168.171.8,10.125.40.8,UDP,194,0.042598029,ACK,1/1/2023 0:05,,,,,,,,,
192.168.174.35,10.158.48.57,TCP,1344,0.450450705,SYN,1/1/2023 0:05,,,,,,,,,
